198 1:0.004168 2:-0.170975 3:-0.156748 4:-0.142151 5:0.058781 6:0.026851 7:0.197719 8:0.041850 9:0.066938 10:-0.056617 11:-0.027230 12:-0.137411 13:0.067776 14:0.047175 15:0.155671 16:0.050766 17:0.102557 18:-0.020259 19:-0.200512 20:-0.095371 21:-0.081940 22:-0.103735 23:0.093299 24:0.105475 25:0.148560 26:0.085925 27:0.107879 28:0.108075 29:0.085388 30:0.124026 31:-0.003650 32:-0.127376 33:0.039394 34:-0.018364 35:0.050378 36:0.157190 37:0.203563 38:0.111552 39:0.017907 40:-0.001126 41:0.053062 42:0.140708 43:0.137118 44:-0.090282 45:-0.067809 46:-0.102396 47:-0.051758 48:0.050665 49:0.007055 50:0.021674 51:0.061283 52:0.083523 53:0.053235 54:0.001978 55:0.077418 56:0.046762 57:-0.075730 58:-0.092787 59:0.127297 60:-0.178029 61:-0.202705 62:-0.028543 63:0.032891 64:0.023189 65:0.009716 66:-0.169848 67:-0.002261 68:-0.133029 69:0.082378 70:-0.216610 71:0.062425 72:-0.128243 73:0.203676 74:0.143642 75:0.178602 76:0.192041 77:0.154135 78:-0.175325 79:-0.133636 80:0.005524 81:-0.014981 82:-0.031946 83:-0.015114 84:-0.047175 85:0.003829 86:0.010967 87:-0.006062 88:-0.027560 89:-0.019866 90:-0.024046 91:-0.025153 92:-0.009261 93:-0.025539 94:0.006166 95:-0.012976 96:-0.014259 97:-0.015024 98:-0.010747 99:0.000411 100:-0.032056 101:-0.018312 102:0.030126 103:0.124722
3072 1:-0.103956 2:0.011879 3:-0.098986 4:-0.054501 5:-0.007970 6:0.049113 7:-0.030580 8:-0.077933 9:-0.080529 10:-0.016267 11:-0.215304 12:-0.009885 13:-0.155843 14:-0.059522 15:-0.098836 16:-0.071141 17:-0.023494 18:-0.071200 19:0.027767 20:0.003091 21:-0.003761 22:0.074600 23:0.053080 24:-0.008138 25:0.001794 26:-0.111704 27:-0.140291 28:-0.063347 29:0.066767 30:-0.167073 31:-0.095567 32:-0.047209 33:0.082206 34:0.144445 35:0.086581 36:-0.111850 37:-0.086560 38:0.024942 39:-0.131539 40:0.080062 41:0.345095 42:-0.090835 43:-0.072651 44:0.045934 45:0.016653 46:-0.091120 47:0.024707 48:-0.058299 49:0.027210 50:0.004696 51:0.013844 52:0.043541 53:0.044008 54:0.036480 55:0.039348 56:-0.046261 57:0.025664 58:0.016511 59:0.043803 60:0.019016 61:-0.018508 62:-0.042825 63:-0.127017 64:0.383213 65:0.027688 66:0.179844 67:-0.019807 68:0.031726 69:-0.086455 70:0.157766 71:-0.016577 72:0.028003 73:-0.042753 74:-0.083054 75:-0.035512 76:-0.008779 77:-0.050616 78:-0.001249 79:-0.020209 80:-0.077359 81:-0.045139 82:-0.074738 83:0.051846 84:0.009323 85:0.184332 86:0.420424 87:-0.090224 88:-0.090718 89:-0.035266 90:-0.046729 91:0.000575 92:-0.066023 93:-0.051916 94:0.007680 95:0.027719 96:-0.085811 97:0.111123 98:0.050541 99:0.027565 100:-0.063569 101:-0.041471 102:-0.079758 103:0.017161
6150 1:0.509949 2:0.401709 3:0.293799 4:0.087714 5:0.011686 6:-0.006411 7:-0.006255 8:0.013646 9:-0.040666 10:-0.024447 11:-0.040576 12:0.014326 13:-0.074968 14:0.141365 15:-0.015182 16:0.013691 17:0.006893 18:0.003736 19:-0.020726 20:-0.044104 21:-0.052959 22:-0.085572 23:-0.061547 24:-0.029578 25:0.027700 26:-0.094310 27:-0.047721 28:-0.081589 29:-0.022846 30:-0.106684 31:-0.068873 32:-0.105225 33:-0.065414 34:-0.047722 35:-0.070723 36:-0.057425 37:-0.042024 38:-0.034122 39:-0.049606 40:0.015137 41:-0.091978 42:-0.057454 43:0.039602 44:0.028388 45:-0.068859 46:-0.027863 47:-0.061797 48:-0.059999 49:-0.033393 50:0.017728 51:0.097745 52:0.039449 53:0.041347 54:-0.083136 55:0.052164 56:0.000810 57:0.018361 58:0.037830 59:-0.029845 60:-0.031345 61:0.026966 62:0.051128 63:-0.015953 64:-0.002294 65:-0.046697 66:-0.000500 67:0.034184 68:-0.033345 69:-0.007070 70:-0.002837 71:0.001422 72:0.005147 73:-0.138257 74:-0.096135 75:-0.055102 76:0.000830 77:-0.047025 78:-0.002432 79:0.001711 80:-0.083572 81:-0.096943 82:0.148457 83:-0.007413 84:0.130691 85:-0.032325 86:0.028612 87:-0.023051 88:-0.092214 89:-0.103336 90:0.138232 91:-0.100351 92:0.140423 93:0.110074 94:0.096277 95:-0.044932 96:-0.089470 97:-0.009162 98:-0.012010 99:0.308378 100:-0.028053 101:0.026710 102:-0.066565 103:-0.122352
3072 1:0.119092 2:0.004412 3:-0.002262 4:0.072254 5:0.044512 6:-0.051467 7:0.074686 8:-0.007670 9:0.079438 10:0.062184 11:-0.013027 12:0.045538 13:0.080412 14:-0.010042 15:0.013029 16:-0.071975 17:0.089818 18:-0.016129 19:0.033105 20:0.024275 21:0.040428 22:0.064248 23:0.225613 24:0.176576 25:0.015501 26:0.009491 27:-0.013684 28:-0.017633 29:0.085007 30:-0.056274 31:-0.088925 32:-0.062951 33:0.227151 34:0.165897 35:0.150224 36:0.065105 37:0.110891 38:0.048451 39:0.114726 40:0.020393 41:0.025997 42:0.060515 43:0.072422 44:-0.128881 45:0.039636 46:-0.016252 47:0.058923 48:-0.049495 49:-0.091221 50:0.016999 51:-0.055619 52:-0.043654 53:-0.083105 54:-0.045546 55:-0.099860 56:-0.078093 57:-0.192852 58:-0.089999 59:-0.024671 60:-0.126046 61:0.052497 62:-0.092266 63:-0.090488 64:0.041994 65:0.021031 66:0.069224 67:-0.098074 68:-0.098434 69:0.014228 70:0.114669 71:0.164518 72:0.101039 73:0.060494 74:-0.020581 75:-0.101576 76:-0.045215 77:-0.087017 78:-0.111806 79:-0.154732 80:0.302807 81:0.340027 82:-0.093332 83:-0.057848 84:-0.010558 85:-0.039194 86:-0.041628 87:-0.077455 88:-0.008553 89:-0.022404 90:-0.106131 91:-0.103067 92:-0.083059 93:-0.089064 94:-0.083809 95:0.200354 96:-0.075716 97:0.196605 98:0.152758 99:-0.028484 100:-0.074207 101:-0.089227 102:-0.049913 103:-0.043893
3840 1:0.042037 2:0.007054 3:-0.069483 4:0.081015 5:-0.048207 6:0.089446 7:-0.004947 8:0.064456 9:-0.133387 10:0.068878 11:-0.139371 12:0.041487 13:-0.058531 14:0.021264 15:-0.101382 16:0.021015 17:0.096572 18:-0.005136 19:0.111104 20:-0.008323 21:0.020210 22:-0.003967 23:0.039762 24:0.006744 25:-0.041730 26:-0.174533 27:-0.101343 28:-0.115674 29:0.328511 30:-0.108945 31:-0.160748 32:-0.120290 33:-0.148308 34:-0.082882 35:-0.127218 36:-0.167186 37:-0.143210 38:-0.118028 39:-0.297516 40:-0.160082 41:0.046987 42:-0.023794 43:-0.123336 44:-0.071192 45:-0.161773 46:-0.159971 47:-0.118573 48:-0.094708 49:0.021561 50:0.018012 51:0.067262 52:0.078209 53:0.040831 54:-0.047518 55:0.052238 56:0.015478 57:0.065499 58:0.083426 59:0.155718 60:0.066596 61:0.106298 62:0.092366 63:0.069543 64:0.161903 65:-0.141936 66:0.034700 67:-0.078012 68:0.032215 69:0.089776 70:0.117962 71:0.169422 72:0.115342 73:-0.089155 74:-0.072678 75:-0.015655 76:0.069825 77:0.039744 78:0.108388 79:0.095516 80:0.015942 81:0.087354 82:0.176911 83:-0.062311 84:0.117205 85:-0.048277 86:-0.053679 87:0.014850 88:-0.066453 89:-0.067962 90:-0.083653 91:-0.081130 92:-0.061469 93:0.023662 94:-0.060467 95:0.044351 96:-0.057209 97:0.028047 98:0.029661 99:-0.050026 100:0.023248 101:-0.061539 102:-0.035160 103:0.067834
30 1:0.003286 2:-0.023601 3:-0.023104 4:-0.064171 5:-0.017719 6:-0.113510 7:-0.035212 8:-0.077675 9:-0.024348 10:-0.012458 11:0.013203 12:-0.033329 13:0.047343 14:0.031110 15:0.066102 16:-0.021335 17:0.089228 18:-0.013806 19:0.030922 20:0.021081 21:0.086050 22:-0.007688 23:-0.003909 24:0.023979 25:-0.011401 26:0.037614 27:0.122546 28:0.074082 29:0.045910 30:0.124436 31:0.124325 32:0.132139 33:-0.061852 34:-0.174536 35:-0.184804 36:-0.082820 37:0.006521 38:-0.003643 39:-0.014628 40:-0.026703 41:-0.032888 42:0.024425 43:0.054528 44:-0.101401 45:0.014606 46:0.026646 47:0.037999 48:-0.019444 49:-0.013074 50:-0.064601 51:-0.081504 52:-0.071366 53:-0.035875 54:0.101980 55:-0.091560 56:0.017506 57:-0.025028 58:-0.048594 59:-0.017611 60:0.059662 61:-0.006563 62:-0.007014 63:0.028528 64:-0.082346 65:0.309380 66:0.271756 67:0.324673 68:0.267579 69:-0.093078 70:-0.146587 71:-0.124777 72:-0.231879 73:0.003766 74:0.007124 75:0.052473 76:0.074151 77:0.074014 78:0.026689 79:0.028306 80:-0.022753 81:-0.029017 82:0.001257 83:-0.162765 84:0.095942 85:0.170988 86:0.183442 87:-0.050507 88:-0.018859 89:-0.136377 90:0.116337 91:0.111394 92:-0.180056 93:-0.036899 94:-0.200020 95:-0.052056 96:0.012218 97:-0.038346 98:-0.046463 99:0.114204 100:0.125139 101:-0.012600 102:0.105835 103:-0.001440
8198 1:0.076606 2:-0.025478 3:0.072419 4:-0.065383 5:0.123539 6:0.120130 7:0.102248 8:0.008324 9:0.094147 10:-0.014666 11:0.159352 12:-0.005371 13:0.071226 14:0.110422 15:0.179140 16:0.062190 17:0.109197 18:-0.141429 19:-0.179729 20:-0.035018 21:-0.013449 22:0.009843 23:0.096399 24:0.020458 25:0.055086 26:0.004566 27:-0.056574 28:0.015194 29:-0.038159 30:-0.047149 31:-0.053226 32:-0.012198 33:0.045641 34:0.049025 35:0.074069 36:0.063950 37:0.079691 38:0.026329 39:0.009623 40:0.173360 41:-0.051999 42:-0.001445 43:0.038185 44:-0.181000 45:-0.050994 46:-0.116329 47:-0.085794 48:-0.003214 49:-0.010565 50:0.109443 51:0.073003 52:0.037110 53:0.025515 54:-0.153793 55:-0.015796 56:0.020212 57:-0.018386 58:0.082409 59:0.058881 60:-0.028625 61:-0.188271 62:-0.121936 63:0.072489 64:-0.049570 65:0.169555 66:-0.085764 67:0.052756 68:-0.043803 69:0.120260 70:-0.012549 71:-0.106745 72:-0.034501 73:0.087775 74:0.093431 75:0.090078 76:-0.031355 77:0.011194 78:-0.209306 79:-0.180997 80:0.015614 81:0.015714 82:-0.123243 83:-0.093674 84:0.198816 85:-0.100384 86:-0.106521 87:0.131097 88:0.183801 89:0.243689 90:0.210307 91:0.197175 92:-0.106965 93:0.046600 94:-0.109926 95:0.003302 96:0.024075 97:0.039718 98:0.030025 99:-0.098264 100:-0.104963 101:-0.114448 102:-0.094395 103:-0.148318
11270 1:-0.106801 2:-0.069277 3:-0.132254 4:-0.099246 5:-0.188413 6:-0.110359 7:-0.155120 8:-0.168094 9:-0.182473 10:0.023208 11:-0.130712 12:-0.079053 13:-0.171518 14:-0.064736 15:-0.153275 16:-0.070655 17:0.021343 18:-0.070272 19:0.060064 20:0.067662 21:0.022577 22:0.010968 23:-0.005391 24:-0.075087 25:-0.076256 26:-0.020160 27:-0.072470 28:-0.017722 29:0.016697 30:-0.054512 31:-0.003925 32:0.047992 33:0.132655 34:0.119805 35:0.059088 36:-0.026662 37:0.007289 38:0.017478 39:0.037296 40:0.028246 41:0.022648 42:0.020323 43:-0.030252 44:0.057420 45:0.030436 46:-0.051919 47:-0.027397 48:-0.000518 49:-0.003431 50:0.049034 51:0.166177 52:0.176017 53:0.243175 54:-0.108587 55:0.257996 56:0.212199 57:-0.004107 58:-0.018270 59:-0.161660 60:-0.037524 61:-0.071472 62:-0.025932 63:0.001865 64:-0.052415 65:-0.076020 66:0.027548 67:0.050457 68:0.031240 69:0.102424 70:-0.048468 71:-0.085218 72:-0.025517 73:0.004446 74:0.001622 75:0.026163 76:-0.174188 77:-0.060942 78:0.038233 79:0.000925 80:-0.076198 81:-0.021789 82:0.167004 83:0.109032 84:0.074937 85:0.018825 86:-0.151933 87:-0.155029 88:-0.089821 89:-0.026713 90:0.164534 91:0.172943 92:0.022730 93:0.015293 94:0.185214 95:-0.084224 96:-0.123843 97:0.005166 98:0.149781 99:0.099540 100:-0.145246 101:-0.030507 102:-0.160804 103:-0.045927
12294 1:0.177650 2:0.136159 3:0.153211 4:0.190312 5:0.158541 6:0.219521 7:0.079914 8:0.232238 9:0.127932 10:0.089142 11:0.214214 12:0.186596 13:0.080546 14:0.214809 15:0.157049 16:0.220334 17:0.103141 18:0.143783 19:0.050731 20:-0.042281 21:0.017755 22:-0.022191 23:-0.035914 24:-0.052768 25:-0.029176 26:-0.086553 27:-0.045730 28:-0.080510 29:-0.090395 30:-0.067494 31:-0.051173 32:-0.013736 33:0.037043 34:-0.015615 35:-0.016112 36:-0.000904 37:-0.017557 38:0.034323 39:0.041121 40:0.005060 41:0.004845 42:0.034218 43:0.005030 44:0.093303 45:0.108699 46:0.094873 47:0.113329 48:-0.039070 49:-0.040719 50:-0.048583 51:-0.060474 52:-0.043247 53:-0.059577 54:-0.024152 55:-0.047301 56:-0.015707 57:-0.070061 58:-0.033093 59:-0.098816 60:-0.024762 61:-0.100993 62:-0.041568 63:-0.064112 64:-0.078269 65:-0.113340 66:-0.031019 67:-0.354263 68:0.004667 69:-0.104765 70:-0.286221 71:-0.067996 72:-0.047794 73:-0.000373 74:-0.037373 75:-0.004913 76:-0.009994 77:-0.115887 78:0.014361 79:0.027029 80:-0.009480 81:-0.027829 82:-0.042800 83:-0.030460 84:-0.056851 85:-0.013668 86:-0.012081 87:-0.019658 88:-0.036220 89:-0.021501 90:-0.043937 91:-0.043592 92:-0.025531 93:-0.023776 94:-0.017603 95:-0.026542 96:0.074257 97:-0.023072 98:0.003242 99:0.252200 100:-0.029461 101:-0.026240 102:0.006896 103:0.078088
3078 1:0.122075 2:-0.055828 3:-0.034775 4:-0.039235 5:0.075027 6:0.087308 7:0.088062 8:0.122385 9:0.091848 10:-0.099132 11:0.041763 12:-0.024225 13:0.118928 14:0.057956 15:0.027388 16:0.163739 17:-0.015432 18:-0.008595 19:-0.086907 20:-0.093769 21:-0.078785 22:0.096019 23:0.100252 24:0.008856 25:-0.045860 26:-0.087768 27:-0.106773 28:-0.053326 29:-0.058797 30:-0.196288 31:-0.104462 32:-0.150524 33:0.186878 34:0.096440 35:0.137880 36:0.165071 37:0.101762 38:0.057060 39:-0.022019 40:-0.025563 41:0.128242 42:0.176067 43:-0.296871 44:-0.000183 45:0.040811 46:-0.039195 47:0.019562 48:-0.002056 49:0.060674 50:0.153336 51:0.069484 52:0.021987 53:-0.048801 54:-0.166048 55:-0.074444 56:-0.106089 57:-0.045318 58:0.096766 59:0.022171 60:-0.139521 61:0.025829 62:-0.074287 63:0.004542 64:0.067710 65:-0.049911 66:-0.053006 67:-0.146744 68:-0.048638 69:-0.101439 70:0.131881 71:-0.041595 72:0.073726 73:0.095581 74:0.072837 75:-0.031377 76:-0.138140 77:-0.074792 78:-0.003966 79:-0.153042 80:-0.061890 81:-0.066663 82:0.018970 83:0.181895 84:-0.124112 85:0.217399 86:0.050713 87:-0.068185 88:-0.095511 89:0.025485 90:0.147370 91:0.117484 92:-0.030877 93:-0.036756 94:-0.102717 95:0.161406 96:-0.089552 97:0.077943 98:-0.093588 99:-0.016764 100:-0.069944 101:-0.105056 102:-0.080810 103:0.031019
